	case	comparison	SNF: FDA & CGC
205143	SC_9062	ACH-000869	0.9978727329011885
204976	SC_9062	ACH-000546	0.9978735489647192
204918	SC_9062	ACH-000425	0.9978738648486986
204758	SC_9062	ACH-000008	0.997874722883463
204938	SC_9062	ACH-000463	0.9978758737587883
204991	SC_9062	ACH-000571	0.9978776971132082
205162	SC_9062	ACH-000911	0.9978796935087354
205190	SC_9062	ACH-000991	0.9978839624898311
204795	SC_9062	ACH-000129	0.9978858328673474
205075	SC_9062	ACH-000733	0.9978859759787181
204809	SC_9062	ACH-000169	0.9978863463687486
204828	SC_9062	ACH-000217	0.997887482598088
204797	SC_9062	ACH-000138	0.9978881269548321
204929	SC_9062	ACH-000442	0.9978901125980775
205052	SC_9062	ACH-000688	0.9978903174059564
205198	SC_9062	ACH-001065	0.997891893872071
204986	SC_9062	ACH-000563	0.9978920880030245
205147	SC_9062	ACH-000880	0.9978938278970871
204786	SC_9062	ACH-000108	0.9978967803558878
204877	SC_9062	ACH-000343	0.9978996170589448
205146	SC_9062	ACH-000878	0.9978998389221772
204867	SC_9062	ACH-000311	0.9978998944686971
204832	SC_9062	ACH-000225	0.997900553627921
205138	SC_9062	ACH-000863	0.9979014789058447
204906	SC_9062	ACH-000396	0.9979020906993064
204826	SC_9062	ACH-000211	0.9979023972510038
204916	SC_9062	ACH-000423	0.9979026747441925
204815	SC_9062	ACH-000186	0.9979026913807738
205202	SC_9062	ACH-001126	0.9979027194598058
205158	SC_9062	ACH-000902	0.9979028792793929
204788	SC_9062	ACH-000111	0.9979030700379363
204820	SC_9062	ACH-000192	0.9979031023099454
204910	SC_9062	ACH-000403	0.9979033655611202
205017	SC_9062	ACH-000622	0.9979036185372667
204928	SC_9062	ACH-000441	0.997903839087563
204881	SC_9062	ACH-000350	0.9979048978891215
204879	SC_9062	ACH-000348	0.9979049326093246
205020	SC_9062	ACH-000627	0.9979050066277574
204911	SC_9062	ACH-000408	0.9979056977797722
205181	SC_9062	ACH-000966	0.9979060396268009
204847	SC_9062	ACH-000258	0.9979068275777335
205014	SC_9062	ACH-000617	0.9979068915374127
204990	SC_9062	ACH-000570	0.9979073363048886
205082	SC_9062	ACH-000749	0.9979075437214944
205007	SC_9062	ACH-000605	0.9979077913628777
204771	SC_9062	ACH-000055	0.9979078364370861
205101	SC_9062	ACH-000790	0.9979080029394056
204780	SC_9062	ACH-000098	0.997908688594209
204864	SC_9062	ACH-000305	0.9979087925627464
205179	SC_9062	ACH-000962	0.9979089828051978
204981	SC_9062	ACH-000558	0.9979092975609425
204792	SC_9062	ACH-000117	0.9979099170181861
204966	SC_9062	ACH-000524	0.9979105970224847
204812	SC_9062	ACH-000176	0.997910631780859
204909	SC_9062	ACH-000401	0.9979108114461082
205163	SC_9062	ACH-000915	0.9979108457478622
205039	SC_9062	ACH-000666	0.9979126109729851
204801	SC_9062	ACH-000145	0.9979126474108703
205037	SC_9062	ACH-000663	0.997912988558271
204781	SC_9062	ACH-000099	0.9979130802571903
204871	SC_9062	ACH-000322	0.9979131429688836
205104	SC_9062	ACH-000798	0.9979133217783591
204876	SC_9062	ACH-000341	0.9979137033150748
204858	SC_9062	ACH-000291	0.9979137342767451
204787	SC_9062	ACH-000109	0.9979138352794156
204842	SC_9062	ACH-000249	0.9979140850383224
204935	SC_9062	ACH-000451	0.9979141375976822
204893	SC_9062	ACH-000366	0.9979147008427397
204988	SC_9062	ACH-000566	0.997914985058682
205079	SC_9062	ACH-000744	0.9979152684342287
205183	SC_9062	ACH-000970	0.9979158290327713
204902	SC_9062	ACH-000391	0.9979160456209655
205070	SC_9062	ACH-000724	0.9979161557277081
205175	SC_9062	ACH-000949	0.9979162945015384
204799	SC_9062	ACH-000142	0.9979171709258349
204855	SC_9062	ACH-000282	0.997917672978247
204903	SC_9062	ACH-000392	0.9979178579451269
204960	SC_9062	ACH-000514	0.9979180369076709
205043	SC_9062	ACH-000670	0.997918810452733
204943	SC_9062	ACH-000475	0.9979196422247122
205083	SC_9062	ACH-000752	0.9979197778948508
204878	SC_9062	ACH-000347	0.9979199118723489
205168	SC_9062	ACH-000926	0.9979202181657305
204778	SC_9062	ACH-000092	0.9979207760228771
205091	SC_9062	ACH-000775	0.9979208894458572
205042	SC_9062	ACH-000669	0.9979208964483051
205176	SC_9062	ACH-000951	0.9979211889324426
204979	SC_9062	ACH-000552	0.9979212654266021
204814	SC_9062	ACH-000181	0.9979216365297104
205057	SC_9062	ACH-000698	0.9979218094181644
205053	SC_9062	ACH-000689	0.9979218692184801
204987	SC_9062	ACH-000565	0.997921983747285
205107	SC_9062	ACH-000803	0.9979221979113372
204777	SC_9062	ACH-000087	0.9979225150430335
204995	SC_9062	ACH-000580	0.9979225719825867
204764	SC_9062	ACH-000023	0.9979226123969661
205133	SC_9062	ACH-000857	0.997922752289617
205156	SC_9062	ACH-000894	0.9979228462200196
204885	SC_9062	ACH-000354	0.99792289377142
205141	SC_9062	ACH-000866	0.9979229986494333
205148	SC_9062	ACH-000881	0.9979230027079692
205002	SC_9062	ACH-000595	0.9979232346743105
204808	SC_9062	ACH-000161	0.9979233935511932
205207	SC_9062	ACH-001233	0.997923966715451
205030	SC_9062	ACH-000648	0.9979240398865448
204889	SC_9062	ACH-000359	0.9979240544438753
205044	SC_9062	ACH-000672	0.9979241733038318
205131	SC_9062	ACH-000853	0.9979242586378945
205003	SC_9062	ACH-000596	0.9979243115888558
204926	SC_9062	ACH-000437	0.9979244494066112
204959	SC_9062	ACH-000510	0.9979249740470789
205171	SC_9062	ACH-000930	0.9979249780178048
205018	SC_9062	ACH-000624	0.9979251256394208
