	nonsynonymous-variant-count
ACH-000882	1135
ACH-000871	1164
ACH-000911	1184
ACH-000890	1192
ACH-000860	1221
ACH-000916	1547
ACH-000929	1722
ACH-000968	1807
ACH-000949	1814
ACH-000919	1815
ACH-000947	1826
ACH-000930	2159
ACH-000951	2213
ACH-000940	2415
ACH-000945	2506
ACH-000955	2627
ACH-000963	3036
ACH-000966	3050
ACH-000979	3158
ACH-000971	3176
ACH-000985	5399
ACH-000989	5471
ACH-000986	5715
ACH-000991	7399
