	case	comparison	SNF: FDA & CGC
205206	MEL-IPI_Pat123	ACH-001190	0.9978276503038539
204803	MEL-IPI_Pat123	ACH-000148	0.9978281452031599
204999	MEL-IPI_Pat123	ACH-000586	0.9978288945936977
205113	MEL-IPI_Pat123	ACH-000818	0.9978292942097103
205202	MEL-IPI_Pat123	ACH-001126	0.9978304729113254
204992	MEL-IPI_Pat123	ACH-000572	0.997831592017163
205192	MEL-IPI_Pat123	ACH-001016	0.997831915699968
204981	MEL-IPI_Pat123	ACH-000558	0.9978323889388285
204821	MEL-IPI_Pat123	ACH-000196	0.9978325962543629
204967	MEL-IPI_Pat123	ACH-000525	0.9978326398887807
205068	MEL-IPI_Pat123	ACH-000720	0.9978326913565638
205204	MEL-IPI_Pat123	ACH-001151	0.9978329070843175
204809	MEL-IPI_Pat123	ACH-000169	0.9978332363235899
204837	MEL-IPI_Pat123	ACH-000238	0.9978334499634327
205178	MEL-IPI_Pat123	ACH-000957	0.9978335784221812
205085	MEL-IPI_Pat123	ACH-000756	0.9978340525878101
205012	MEL-IPI_Pat123	ACH-000615	0.9978344953211941
205159	MEL-IPI_Pat123	ACH-000903	0.9978348614151794
205136	MEL-IPI_Pat123	ACH-000860	0.9978348680064436
204840	MEL-IPI_Pat123	ACH-000244	0.9978348970679617
204980	MEL-IPI_Pat123	ACH-000555	0.9978351497931855
205028	MEL-IPI_Pat123	ACH-000643	0.9978364232049831
204850	MEL-IPI_Pat123	ACH-000265	0.9978370948158288
205016	MEL-IPI_Pat123	ACH-000621	0.9978382543633606
204778	MEL-IPI_Pat123	ACH-000092	0.9978385666869432
204811	MEL-IPI_Pat123	ACH-000174	0.9978389640177145
205196	MEL-IPI_Pat123	ACH-001039	0.9978391289813434
205083	MEL-IPI_Pat123	ACH-000752	0.9978393124575148
204845	MEL-IPI_Pat123	ACH-000254	0.9978399280674718
204959	MEL-IPI_Pat123	ACH-000510	0.9978403960713779
204956	MEL-IPI_Pat123	ACH-000504	0.9978410914279395
205154	MEL-IPI_Pat123	ACH-000892	0.9978413723694899
205059	MEL-IPI_Pat123	ACH-000703	0.9978419541458591
205029	MEL-IPI_Pat123	ACH-000647	0.9978423205314072
205092	MEL-IPI_Pat123	ACH-000776	0.9978438224109759
204940	MEL-IPI_Pat123	ACH-000469	0.9978440256590467
204816	MEL-IPI_Pat123	ACH-000187	0.9978442305804764
205060	MEL-IPI_Pat123	ACH-000704	0.997845111284059
205032	MEL-IPI_Pat123	ACH-000651	0.9978453207846488
204973	MEL-IPI_Pat123	ACH-000536	0.9978453291390821
205097	MEL-IPI_Pat123	ACH-000784	0.9978463547745645
204984	MEL-IPI_Pat123	ACH-000561	0.9978467591841635
204990	MEL-IPI_Pat123	ACH-000570	0.9978471135384781
205144	MEL-IPI_Pat123	ACH-000871	0.9978481525350741
205170	MEL-IPI_Pat123	ACH-000929	0.9978483413060543
205053	MEL-IPI_Pat123	ACH-000689	0.997849599676361
205081	MEL-IPI_Pat123	ACH-000748	0.9978499650374788
204874	MEL-IPI_Pat123	ACH-000332	0.9978510435918102
205058	MEL-IPI_Pat123	ACH-000699	0.997851629918458
205126	MEL-IPI_Pat123	ACH-000846	0.9978519295541081
205026	MEL-IPI_Pat123	ACH-000639	0.997852097545544
204780	MEL-IPI_Pat123	ACH-000098	0.9978523561453368
204988	MEL-IPI_Pat123	ACH-000566	0.9978526598678318
204933	MEL-IPI_Pat123	ACH-000449	0.997852825154538
205153	MEL-IPI_Pat123	ACH-000890	0.9978532254482366
204998	MEL-IPI_Pat123	ACH-000585	0.9978542279992229
204991	MEL-IPI_Pat123	ACH-000571	0.9978548636638945
205070	MEL-IPI_Pat123	ACH-000724	0.9978555417846782
204983	MEL-IPI_Pat123	ACH-000560	0.9978558437409331
204905	MEL-IPI_Pat123	ACH-000395	0.9978564231115971
205180	MEL-IPI_Pat123	ACH-000963	0.99785751491501
204838	MEL-IPI_Pat123	ACH-000242	0.9978584721108245
204876	MEL-IPI_Pat123	ACH-000341	0.9978586596717042
205002	MEL-IPI_Pat123	ACH-000595	0.9978586627707408
204882	MEL-IPI_Pat123	ACH-000351	0.9978587231293651
204897	MEL-IPI_Pat123	ACH-000379	0.9978591723034611
205006	MEL-IPI_Pat123	ACH-000603	0.9978609342662024
204777	MEL-IPI_Pat123	ACH-000087	0.9978615019494478
204995	MEL-IPI_Pat123	ACH-000580	0.9978621609373947
205050	MEL-IPI_Pat123	ACH-000680	0.9978622819354167
205157	MEL-IPI_Pat123	ACH-000900	0.997862489711633
205148	MEL-IPI_Pat123	ACH-000881	0.9978631812836357
205119	MEL-IPI_Pat123	ACH-000827	0.9978633617698136
205011	MEL-IPI_Pat123	ACH-000614	0.9978644082117962
205127	MEL-IPI_Pat123	ACH-000847	0.9978644433362894
204958	MEL-IPI_Pat123	ACH-000508	0.9978646618038366
205084	MEL-IPI_Pat123	ACH-000755	0.9978647125357658
205140	MEL-IPI_Pat123	ACH-000865	0.9978652997957813
204892	MEL-IPI_Pat123	ACH-000364	0.9978656565370891
205040	MEL-IPI_Pat123	ACH-000667	0.9978660827544067
204987	MEL-IPI_Pat123	ACH-000565	0.9978663446220558
204764	MEL-IPI_Pat123	ACH-000023	0.9978663580013556
205087	MEL-IPI_Pat123	ACH-000766	0.9978673431242413
205108	MEL-IPI_Pat123	ACH-000809	0.9978692322861118
204824	MEL-IPI_Pat123	ACH-000207	0.9978692804495984
